#  Yr  JD C Th Ph	RA	Dec	 E	Expo
94 2018	224	1534096475	47.9	141.7	125.0	-0.6	146.5	101397.8
95 2018	336	1543812862	12.5	138.4	65.8	-26.3	107.0	104024.4
96 2019	61	1551609400	48.6	-113.3	185.9	-70.7	107.6	106063.9
97 2019	117	1556436334	14.8	-32.7	275.0	-42.1	132.6	107370.7
98 2019	314	1573399408	58.6	-135.6	128.9	-52.0	165.5	111928.9
99 2019	340	1575640030	36.1	100.3	206.6	0.4	101.2	112531.2
100 2020	26	1580092842	1.4	-53.7	98.1	-36.1	102.6	113671.3
101 2020	66	1583535647	41.4	-20.6	133.6	-38.3	109.7	114595.1
102 2020	73	1584120052	65.1	-77.6	133.3	-75.1	103.7	114751.5
103 2020	163	1591895321	18.9	-47.7	107.2	-47.6	155.2	116796.7
