,H,aH,He,C,Fe
30,"(1.5534989516694924, 0.6902533137019567)","(1.75675502909651, 0.6070148048743783)","(1.5516130879867054, 0.8038753887098543)","(1.304092832335474, 0.9705240137222897)","(0.9794415458144127, 1.3441944292286025)"
31,"(0.9784570879146487, -1.9378813542900641)","(0.9738799838600017, -1.9247016214458388)","(0.9808819857532504, -1.9535881387252712)","(0.9711566243435313, -1.947446722029948)","(1.2248426703865012, -2.0324399832192968)"
32,"(2.3344952112612054, -0.792163913825997)","(2.291130426302924, -0.7796086138818048)","(2.370900407199315, -0.7975823854434436)","(2.4886648842398205, -0.9312554529000002)","(2.4653588004420888, 3.0430184253966406)"
33,"(2.223270957493353, -0.551294258802014)","(2.1618974796485606, -0.5552240422634639)","(2.275226955272759, -0.5548394388808899)","(2.433653770528748, -0.526164913177051)","(2.7011453830857324, -2.5398895557922114)"
34,"(1.8118767361328283, -1.9647978995078843)","(1.8975381587248612, -1.9572629116820004)","(1.7792658012849338, -1.9643493269128027)","(1.6469490584288244, -1.9554874630939476)","(1.7001397158592169, -1.500523089667345)"
35,"(2.035923551605718, 0.8671848724750104)","(2.1101354800385064, 0.6606335982682492)","(1.969576576954642, 0.997784776278331)","(1.707441367575295, 1.2556383938480296)","(1.0995127414299617, 1.7139644962333913)"
36,"(2.425759521646063, 0.9684531316177072)","(2.444228437597483, 0.7248990725593681)","(2.412997595901473, 1.0971814256640806)","(2.341796492122703, 1.387578027483233)","(0.9872531262688251, 2.6517091185552446)"
37,"(2.121556564712732, -1.7940431016886669)","(2.165624527171411, -1.7628418111421709)","(2.08550547012992, -1.8135251167291448)","(1.9698933010521613, -1.8307310807541575)","(1.1273484860734728, -1.9316574824991402)"
38,"(1.9558232493276266, -0.0972667207772395)","(1.9344717551005666, -0.28693789977155315)","(1.994758633933876, -0.024517958766607166)","(2.0601617206245284, 0.47808354645189716)","(1.9630674824892276, 2.4562147443137636)"
39,"(2.8152575520971546, 2.7882465149229674)","(2.923541544248664, 2.6683219850896718)","(2.758294901722897, 2.790313726009286)","(2.479930183138556, 2.9119787329136355)","(1.0484552703664045, -2.994630413401509)"
40,"(1.5389376269459827, -1.1701022476591443)","(1.6629384238656062, -1.19733802174174)","(1.4710110445685713, -1.171422579568017)","(1.4791711217663477, -1.0386802296801012)","(0.877142945020886, -1.7302321006640107)"
41,"(1.202740913376966, -0.3836675722165305)","(1.2871579360490994, -0.45128417487053446)","(1.1513927533122306, -0.33249824247133164)","(0.968085105897494, -0.17277204364069995)","(0.630381930271405, 3.081139109177286)"
42,"(1.1702439995306315, -1.2640526258860112)","(1.1742210853871735, -1.2519303744030414)","(1.1545504279418648, -1.2698018789338514)","(1.1052285435028868, -1.3174412785066076)","(1.1234640300337204, -1.01394130352347)"
43,"(0.9804893017668027, -1.8830164443321717)","(0.987120294463449, -1.880503013981974)","(0.9836432969060842, -1.881403458354725)","(0.9713511849850993, -1.9178145649007345)","(1.2569247793541118, -2.140409190416341)"
44,"(1.1560145853831851, -0.4859033972513875)","(1.1898052855235606, -0.5681749692767095)","(1.0905537135099417, -0.439285291318051)","(0.978191360950394, -0.4233951891105458)","(0.7899490079762265, -2.6312492579141042)"
45,"(2.298596429352925, 1.7009921543694857)","(2.398332067186966, 1.5643688701383716)","(2.2510466811091883, 1.764956383531564)","(2.0025261203875373, 1.94432168418625)","(0.828121878774223, 2.1618237890292242)"
46,"(1.8023912395711177, -1.841884276957127)","(1.8820693236257218, -1.8148867690397252)","(1.743678408095357, -1.8453882000700916)","(1.4895770076229482, -1.8736646450550971)","(1.1421070090021541, -1.2099943244338855)"
47,"(1.9835279077196195, 0.4419071307530134)","(2.033594551641248, 0.20470567016347593)","(1.9625865026099145, 0.5706127831869034)","(1.819190378501637, 1.0519545722716865)","(1.288234116695492, 2.118474923064524)"
48,"(1.0006140236103234, -0.37670846636967115)","(1.11577454945882, -0.4896157162891026)","(0.9797207871910172, -0.3243856688424376)","(0.8370400769225592, -0.1554329847263431)","(1.1721313948007852, 2.437559579513698)"
49,"(1.2287976647482264, -2.36838076574393)","(1.2471060314236446, -2.374712488381011)","(1.2265058642767779, -2.363972426642638)","(1.2358783753250426, -2.352057141263167)","(1.3158073791567548, -2.336445691784111)"
50,"(2.2797784681870734, -2.380821449779662)","(2.3644051446136363, -2.3402978486441324)","(2.24200986064796, -2.398339405140652)","(2.0741115746392516, -2.428695887781929)","(0.981190558778564, -2.7200523858030827)"
51,"(1.6872824310760965, -1.033149547863307)","(1.7591899459751679, -1.03653572779818)","(1.6591633278466174, -1.012351268604604)","(1.6343837731697517, -0.8026834272966507)","(2.25067260199115, -1.5670996824993402)"
52,"(1.7563835643903596, -0.07505186653659725)","(1.8005526040954754, -0.2460267935436439)","(1.76151673014018, 0.0964048273188361)","(1.762856605816963, 0.43540439899274447)","(2.333980502180546, 1.704470537097392)"
53,"(1.6557114286503691, -1.592305018268279)","(1.7308023683907525, -1.5817291654123706)","(1.6361570380818127, -1.5969725139612319)","(1.4806702896150619, -1.5134227918931018)","(0.763291632630223, -1.6643161677058587)"
54,"(0.43876168991138, -0.48627924947460377)","(0.5886472216959262, -0.5066702002013811)","(0.3743612478833365, -0.5016010044776096)","(0.11148919342309592, -1.0498796291450403)","(0.6620294917556054, 3.112498927663963)"
55,"(1.8683476442589015, -2.0274744375575806)","(1.95263866751496, -1.9972701463697407)","(1.8388935057938471, -2.0405867990304953)","(1.757171209707062, -2.064657058299799)","(0.7931088986320077, -2.808266207027256)"
56,"(1.4853853914009696, -1.7276782408449725)","(1.540001262326207, -1.7840886327584442)","(1.4847886860681085, -1.6815160474496147)","(1.3268601164752458, -1.6026392118946815)","(1.1674326139703686, -1.667098863674166)"
57,"(1.871454752217122, -1.2173014898893573)","(1.9229951646211838, -1.2542579267896798)","(1.8323867475097655, -1.2208425529923423)","(1.7965024131213363, -1.2194962210806186)","(1.9610852409413682, -1.4854923407977145)"
58,"(1.8331910777821745, -1.7733527690889828)","(1.915791404296861, -1.7768161884137248)","(1.8031881666073082, -1.7766946888442283)","(1.6359508350602878, -1.753396809184679)","(1.6511480336853752, -1.4331000470019346)"
