,Event,Object,Seed,Hit
120,22,sgr,633507662,"(0, 0.0)"
121,22,grs,633507662,"(0, 0.0)"
122,22,ss,633507662,"(0, 0.0)"
123,22,ngc_cords,633507662,"(0, 0.0)"
124,23,sgr,1052266964,"(0, 0.0)"
125,23,grs,1052266964,"(0, 0.0)"
126,23,ss,1052266964,"(1, 0.001)"
127,23,ngc_cords,1052266964,"(1, 0.001)"
128,23,sgr,1009317292,"(0, 0.0)"
129,23,grs,1009317292,"(0, 0.0)"
130,23,ss,1009317292,"(0, 0.0)"
131,23,ngc_cords,1009317292,"(0, 0.0)"
132,30,sgr,64424508,"(0, 0.0)"
133,30,grs,64424508,"(12, 0.012)"
134,30,ss,64424508,"(0, 0.0)"
135,30,ngc_cords,64424508,"(0, 0.0)"
136,22,sgr,440234138,"(0, 0.0)"
137,22,grs,440234138,"(0, 0.0)"
138,22,ss,440234138,"(0, 0.0)"
139,22,ngc_cords,440234138,"(99, 0.099)"
140,30,sgr,858993440,"(0, 0.0)"
141,30,grs,858993440,"(0, 0.0)"
142,30,ss,858993440,"(0, 0.0)"
143,30,ngc_cords,858993440,"(0, 0.0)"
144,23,sgr,719407006,"(0, 0.0)"
145,23,grs,719407006,"(0, 0.0)"
146,23,ss,719407006,"(0, 0.0)"
147,23,ngc_cords,719407006,"(107, 0.107)"
148,22,sgr,246960614,"(0, 0.0)"
149,22,grs,246960614,"(0, 0.0)"
150,22,ss,246960614,"(0, 0.0)"
151,22,ngc_cords,246960614,"(0, 0.0)"
152,22,sgr,85899344,"(0, 0.0)"
153,22,grs,85899344,"(0, 0.0)"
154,22,ss,85899344,"(0, 0.0)"
155,22,ngc_cords,85899344,"(0, 0.0)"
156,23,sgr,977105038,"(14, 0.014)"
157,23,grs,977105038,"(2, 0.002)"
158,23,ss,977105038,"(0, 0.0)"
159,23,ngc_cords,977105038,"(0, 0.0)"
160,30,sgr,708669588,"(0, 0.0)"
161,30,grs,708669588,"(0, 0.0)"
162,30,ss,708669588,"(0, 0.0)"
163,30,ngc_cords,708669588,"(12, 0.012)"
164,23,sgr,644245080,"(0, 0.0)"
165,23,grs,644245080,"(0, 0.0)"
166,23,ss,644245080,"(0, 0.0)"
167,23,ngc_cords,644245080,"(0, 0.0)"
168,22,sgr,676457334,"(1, 0.001)"
169,22,grs,676457334,"(0, 0.0)"
170,22,ss,676457334,"(0, 0.0)"
171,22,ngc_cords,676457334,"(3, 0.003)"
172,30,sgr,987842456,"(0, 0.0)"
173,30,grs,987842456,"(0, 0.0)"
174,30,ss,987842456,"(0, 0.0)"
175,30,ngc_cords,987842456,"(103, 0.103)"
176,22,sgr,547608318,"(0, 0.0)"
177,22,grs,547608318,"(0, 0.0)"
